ticket,symbol,direction,entry,sl,tp,volume,rr,score,logic,regime,lifecycle,phase,session,pd_zone,vp_zone,ml_regime,open_time,close_time,pnl,exit_reason,exit_price
1,EURUSD,BUY,1.17886,1.17812,1.17997,0.68,1.5,65,regime=TREND_MISMATCH | phase=TREND_HEALTHY | sl_mult=2.0×ATR | rr=1.5,TREND_MISMATCH,TREND_HEALTHY,ASIAN,ASIAN,DISCOUNT,ABOVE_VAH,UNTRAINED,2025-09-23 00:00:00,2025-09-23 00:25:00,75.48,TP,1.17997
2,EURUSD,BUY,1.17951,1.17871,1.18071,0.63,1.5,70,regime=TREND_MISMATCH | phase=TREND_HEALTHY | sl_mult=2.0×ATR | rr=1.5,TREND_MISMATCH,TREND_HEALTHY,ASIAN,ASIAN,DISCOUNT,ABOVE_VAH,UNTRAINED,2025-09-23 00:05:00,2025-09-23 03:45:00,75.6,TP,1.18071
3,EURUSD,BUY,1.17988,1.17938,1.18088,1.01,2.0,85,regime=ALIGNED_TREND | phase=TREND_HEALTHY | sl_mult=1.5×ATR | rr=2.0,ALIGNED_TREND,TREND_HEALTHY,ASIAN,ASIAN,PREMIUM,IN_VA,UNTRAINED,2025-09-23 00:55:00,2025-09-23 04:20:00,101.0,TP,1.18088
4,EURUSD,BUY,1.17909,1.17791,1.18085,0.44,1.5,60,regime=CHOPPY | phase=TREND_HEALTHY | sl_mult=2.5×ATR | rr=1.5,CHOPPY,TREND_HEALTHY,NY_AM,NY_AM,DISCOUNT,IN_VA,UNTRAINED,2025-09-23 15:30:00,2025-09-23 19:50:00,77.44,TP,1.18085
5,EURUSD,BUY,1.18149,1.18098,1.18226,1.01,1.5,65,regime=CHOPPY | phase=TREND_HEALTHY | sl_mult=2.5×ATR | rr=1.5,CHOPPY,TREND_HEALTHY,ASIAN,ASIAN,PREMIUM,IN_VA,UNTRAINED,2025-09-24 02:00:00,2025-09-24 03:05:00,-51.51,SL,1.18098
7,EURUSD,SELL,1.1749,1.17547,1.17376,0.9,2.0,100,regime=ALIGNED_TREND | phase=TREND_HEALTHY | sl_mult=1.5×ATR | rr=2.0,ALIGNED_TREND,TREND_HEALTHY,NY_AM,NY_AM,DISCOUNT,BELOW_VAL,UNTRAINED,2025-09-24 14:55:00,2025-09-24 15:05:00,-51.3,SL,1.17547
6,EURUSD,SELL,1.17514,1.17573,1.17397,0.88,2.0,110,regime=ALIGNED_TREND | phase=TREND_HEALTHY | sl_mult=1.5×ATR | rr=2.0,ALIGNED_TREND,TREND_HEALTHY,NY_AM,NY_AM,DISCOUNT,BELOW_VAL,UNTRAINED,2025-09-24 14:40:00,2025-09-24 15:20:00,-51.92,SL,1.17573
8,EURUSD,SELL,1.17327,1.17407,1.17168,0.64,2.0,77,regime=ALIGNED_TREND | phase=TREND_HEALTHY | sl_mult=1.5×ATR | rr=2.0,ALIGNED_TREND,TREND_HEALTHY,NY_PM,NY_PM,DISCOUNT,IN_VA,UNTRAINED,2025-09-24 17:15:00,2025-09-24 17:30:00,-51.2,SL,1.17407
9,EURUSD,SELL,1.17383,1.17468,1.17213,0.6,2.0,92,regime=ALIGNED_TREND | phase=TREND_HEALTHY | sl_mult=1.5×ATR | rr=2.0,ALIGNED_TREND,TREND_HEALTHY,NY_PM,NY_PM,DISCOUNT,IN_VA,UNTRAINED,2025-09-24 17:30:00,2025-09-25 03:55:00,-51.0,SL,1.17468
12,EURUSD,SELL,1.17439,1.17472,1.17389,1.51,1.5,83,regime=TREND_MISMATCH | phase=TREND_HEALTHY | sl_mult=2.0×ATR | rr=1.5,TREND_MISMATCH,TREND_HEALTHY,ASIAN,ASIAN,PREMIUM,ABOVE_VAH,UNTRAINED,2025-09-25 02:25:00,2025-09-25 03:55:00,-49.83,SL,1.17472
11,EURUSD,SELL,1.17402,1.17534,1.17204,0.38,1.5,50,regime=CHOPPY | phase=TREND_HEALTHY | sl_mult=2.5×ATR | rr=1.5,CHOPPY,TREND_HEALTHY,NY_PM,NY_PM,PREMIUM,IN_VA,UNTRAINED,2025-09-24 18:10:00,2025-09-25 06:55:00,-50.16,SL,1.17534
