ticket,symbol,pnl,volume,timestamp
8257041806,XAUUSD,4.45,0.01,2026-05-15T09:37:05+00:00
8257595766,XAUUSD,0.63,0.01,2026-05-15T10:08:20+00:00
8257595767,XAUUSD,0.63,0.01,2026-05-15T10:08:20+00:00
8257595768,XAUUSD,0.63,0.01,2026-05-15T10:08:20+00:00
8257595769,XAUUSD,0.61,0.01,2026-05-15T10:08:20+00:00
8257595770,XAUUSD,0.61,0.01,2026-05-15T10:08:20+00:00
8257595771,XAUUSD,0.61,0.01,2026-05-15T10:08:20+00:00
8257595772,XAUUSD,0.61,0.01,2026-05-15T10:08:20+00:00
8257595773,XAUUSD,60.0,1.0,2026-05-15T10:08:20+00:00
8257868773,XAUUSD,-2.2,0.01,2026-05-15T10:20:32+00:00
8258096050,XAUUSD,4.32,0.01,2026-05-15T10:31:57+00:00
8258096052,XAUUSD,368.0,1.0,2026-05-15T10:31:57+00:00
8258096055,XAUUSD,400.0,1.0,2026-05-15T10:31:57+00:00
8258154288,XAUUSD,-2.65,0.01,2026-05-15T10:35:18+00:00
8258405199,XAUUSD,3.73,0.01,2026-05-15T10:50:03+00:00
8258609636,XAUUSD,5.44,0.01,2026-05-15T11:01:00+00:00
8259292025,XAUUSD,5.28,0.01,2026-05-15T11:30:29+00:00
8261012520,XAUUSD,5.8,0.01,2026-05-15T12:48:19+00:00
8261018833,XAUUSD,777.0,1.0,2026-05-15T12:48:24+00:00
8261018834,XAUUSD,721.0,1.0,2026-05-15T12:48:24+00:00
8261023852,XAUUSD,48.3,0.3,2026-05-15T12:48:34+00:00
8261023853,XAUUSD,86.4,0.3,2026-05-15T12:48:34+00:00
8261132797,XAUUSD,-4.88,0.01,2026-05-15T12:51:02+00:00
8262343080,EURUSD,1.56,0.01,2026-05-15T13:48:23+00:00
8263723948,XAUUSD,4.98,0.01,2026-05-15T14:55:42+00:00
8263723950,XAUUSD,442.0,1.0,2026-05-15T14:55:42+00:00
8263723953,XAUUSD,495.0,1.0,2026-05-15T14:55:42+00:00
8264153773,XAUUSD,-3.05,0.01,2026-05-15T15:15:35+00:00
8264249997,XAUUSD,-2.39,0.01,2026-05-15T15:20:08+00:00
8264412525,XAUUSD,-3.84,0.01,2026-05-15T15:26:21+00:00
8264604635,XAUUSD,-2.46,0.01,2026-05-15T15:35:28+00:00
8264974229,XAUUSD,-3.43,0.01,2026-05-15T15:51:40+00:00
8265151253,XAUUSD,5.85,0.01,2026-05-15T15:59:33+00:00
8265197930,XAUUSD,5.05,0.01,2026-05-15T16:00:35+00:00
